Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Nigeria,NGA,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,12.5855777939676,13.1889687111797,13.6520022334891,13.6362488675014,13.5067642210999
Nigeria,NGA,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,86.8900021252822,86.2667302250631,85.8322140294222,86.3121426131385,85.6345732346495
Nigeria,NGA,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,76.8794861162407,75.9876064104841,75.4853410091569,79.8116886857279,83.6927644346161
Nigeria,NGA,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,81.6194600152174,80.8457580042314,80.3449744912688,82.8064379786837,84.5422399462905
Nigeria,NGA,Urban population,SP.URB.TOTL,42801631,54895345,69982300,88019904,108242753
Nigeria,NGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.84,39.074,43.48,47.838,51.958
Nigeria,NGA,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,731.963211671,..,..,989.307117024,..
Nigeria,NGA,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,9.6,21,24,22,30
Niger,NER,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,0.900000000000001,1,1.3,1.9,2.8
Niger,NER,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,0.3,0.2,0.2,0.3,0.4
Niger,NER,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,4.2,5,6.5,9,12.4
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,6.48148148148148,7.1,13.6219692230225,16.6,18.7219104766846
Niger,NER,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,4.82482738709572,8.14216421159731,9.72373499103413
Niger,NER,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,40.6727828746177,45.7042465209961,59.0578689575195,60.2,63.844841003418
Niger,NER,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..,..,..
Niger,NER,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..,..,..,..
